"","ScanID","Genotype","Subdirectory","RegType","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t","OrganName","GenotypeRegtype"
"2","Scan_0011","WT/WT","WT","M",1,28662.7444784749,5573.79541015625,61566.29296875,20831146.4404757,5901,1.2746160030365,169138855.16748,4.52567707792903,-7.8808785766821,-9.55422867026903,NA,"lung (left)","WT-M"
"3","Scan_0011","WT/WT","WT","M",2,27053.6217645336,4206.2294921875,44602.52734375,16580332.1162992,11740,2.53584003448486,317609519.515625,6.11706198078546,-7.83278626044894,-9.30761357225909,NA,"lung (right)","WT-M"
"4","Scan_0011","WT/WT","WT","M",3,24062.72439284,7462.91943359375,38366.05078125,18248728.8255994,2379,0.513863980770111,57245221.3305664,4.56011355213681,-4.96161297675489,-8.71380259846989,NA,"kidney (left)","WT-M"
"5","Scan_0011","WT/WT","WT","M",4,25082.6086702557,8303.953125,38043.04296875,21508683.1113692,2364,0.51062399148941,59295286.8964844,5.99288965138081,-4.9361632612877,-8.75219791664095,NA,"kidney (right)","WT-M"
"6","Scan_0011","WT/WT","WT","M",5,19895.4969486131,2013.21606445312,33049.5546875,65384555.7387424,5595,1.2085200548172,111315305.42749,4.15275580725786,-5.66439161963882,-8.50667900699078,NA,"stomach","WT-M"
"7","Scan_0011","WT/WT","WT","M",6,37316.9821930893,7300.34033203125,66417.34375,28209572.8373126,62725,13.5486001968384,2340707708.06152,5.34533638142674,-6.52466350305663,-8.00263253920633,NA,"liver","WT-M"
"8","Scan_0011","WT/WT","WT","M",7,32310.2794173177,10687.1396484375,43385.16015625,29124927.0493525,300,0.064800001680851,9693083.82519531,4.6984003112793,-5.47148813438415,-9.31830045471193,NA,"adrenal (left)","WT-M"
"9","Scan_0011","WT/WT","WT","M",8,32556.4143264358,16029.615234375,42706.24609375,24561672.1886169,222,0.0479520000517368,7227523.98046875,5.88238409506309,-5.45935299924901,-9.36151126552272,NA,"adrenal (right)","WT-M"
"10","Scan_0011","WT/WT","WT","M",9,22484.775704704,11361.5947265625,31116.302734375,12106991.0522349,569,0.122904002666473,12793837.3759766,5.12686041672746,-4.20596440854934,-6.67860906631121,NA,"rectum","WT-M"
"11","Scan_0011","WT/WT","WT","M",10,20279.8578789592,3823.85888671875,55737.36328125,56713273.8118009,2066,0.446256011724472,41898186.3779297,5.22225955619702,-5.34091601434543,-6.82052620495389,NA,"bladder","WT-M"
"12","Scan_0011","WT/WT","WT","M",11,26616.0942243063,2422.35986328125,65765.375,115986633.421345,6656,1.43769598007202,177156723.156982,5.10974213820237,-8.48230964880736,-7.8847809835583,NA,"heart","WT-M"
"13","Scan_0011","WT/WT","WT","M",12,28293.3584356672,18410.4921875,32641.861328125,5298595.18957044,341,0.0736560001969337,9648035.2265625,5.11813110306814,-9.76161423409088,-8.35985001482922,NA,"thymus (left)","WT-M"
"14","Scan_0011","WT/WT","WT","M",13,27765.3287998603,19375.74609375,32593.1875,4440685.62953429,246,0.0531359985470772,6830270.88476562,5.56152714054759,-9.79278081731097,-8.24484679617534,NA,"thymus (right)","WT-M"
"15","Scan_0011","WT/WT","WT","M",14,21624.9434509586,2813.15600585938,63529.4453125,17253326.974323,121423,26.227367401123,2625765508.64575,5.05931516760717,-13.3123396946316,-6.08142379378125,NA,"brain","WT-M"
"16","Scan_0011","WT/WT","WT","M",15,21026.5596280103,9581.2548828125,37036.93359375,6438494.0705879,29298,6.32836818695068,616036143.981445,5.334932484124,-8.67114183088235,-9.70163430685104,NA,"spinal cord","WT-M"
"18","Scan_0035","WT/WT","WT","M",1,28631.8572850347,4285.6298828125,42558.73828125,37651848.4685363,7554,1.63166403770447,216285049.931152,4.42597918340005,-7.90841188339131,-9.61994588759536,NA,"lung (left)","WT-M"
"19","Scan_0035","WT/WT","WT","M",2,27708.7300113986,2298.15649414062,46975.73046875,41595483.2414984,15321,3.30933594703674,424525452.504639,6.11654039351935,-7.93797158846695,-9.31907327632914,NA,"lung (right)","WT-M"
